date,service,daily_cost_usd
2016-09-04,AWS_EKS_Kubernetes,187.45
2016-09-04,AWS_RDS_Database,118.03
2016-09-05,AWS_EKS_Kubernetes,209.87
2016-09-05,AWS_RDS_Database,86.24
2016-09-06,AWS_EKS_Kubernetes,155.81
2016-09-06,AWS_RDS_Database,114.65
2016-09-07,AWS_EKS_Kubernetes,1434.66
2016-09-07,AWS_RDS_Database,80.82
2016-09-08,AWS_EKS_Kubernetes,171.23
2016-09-08,AWS_RDS_Database,87.27
2016-09-09,AWS_EKS_Kubernetes,180.42
2016-09-09,AWS_RDS_Database,100.99
2016-09-10,AWS_EKS_Kubernetes,179.12
2016-09-10,AWS_RDS_Database,104.47
2016-09-11,AWS_EKS_Kubernetes,179.21
2016-09-11,AWS_RDS_Database,94.65
2016-09-12,AWS_EKS_Kubernetes,228.52
2016-09-12,AWS_RDS_Database,87.99
2016-09-13,AWS_EKS_Kubernetes,209.24
2016-09-13,AWS_RDS_Database,81.86
2016-09-14,AWS_EKS_Kubernetes,167.05
2016-09-14,AWS_RDS_Database,82.6
2016-09-15,AWS_EKS_Kubernetes,246.56
2016-09-15,AWS_RDS_Database,112.34
2016-09-16,AWS_EKS_Kubernetes,159.77
2016-09-16,AWS_RDS_Database,107.37
2016-09-17,AWS_EKS_Kubernetes,162.2
2016-09-17,AWS_RDS_Database,99.81
2016-09-18,AWS_EKS_Kubernetes,240.93
2016-09-18,AWS_RDS_Database,90.35
2016-09-19,AWS_EKS_Kubernetes,181.17
2016-09-19,AWS_RDS_Database,100.8
2016-09-20,AWS_EKS_Kubernetes,168.49
2016-09-20,AWS_RDS_Database,118.78
2016-09-21,AWS_EKS_Kubernetes,243.95
2016-09-21,AWS_RDS_Database,115.79
2016-09-22,AWS_EKS_Kubernetes,242.19
2016-09-22,AWS_RDS_Database,83.54
2016-09-23,AWS_EKS_Kubernetes,154.52
2016-09-23,AWS_RDS_Database,93.01
2016-09-24,AWS_EKS_Kubernetes,177.13
2016-09-24,AWS_RDS_Database,113.15
2016-09-25,AWS_EKS_Kubernetes,178.09
2016-09-25,AWS_RDS_Database,101.71
2016-09-26,AWS_EKS_Kubernetes,1454.24
2016-09-26,AWS_RDS_Database,82.98
2016-09-27,AWS_EKS_Kubernetes,169.87
2016-09-27,AWS_RDS_Database,80.22
2016-09-28,AWS_EKS_Kubernetes,220.69
